PassengerId,Survived,ScaledClass,ScaledSex,AgeRecorded,ScaledFare,ScaledParch,ScaledSibSp,ScaledCabin,ScaledNumberOfCabins,ScaledEmbarked
27,0,0.0,0.0,0.0,0.014102260811993537,0.0,0.0,0.25,0.25,0.4
28,0,1.0,0.0,1.0,0.5133418122566505,0.3333333333333333,0.375,0.75,0.75,0.3
29,1,0.0,1.0,0.0,0.01537917417160685,0.0,0.0,0.25,0.25,1.0
30,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
31,0,1.0,0.0,1.0,0.05410739813385612,0.0,0.0,0.875,0.25,0.4
32,1,1.0,1.0,0.0,0.2859895551532101,0.0,0.125,0.875,0.25,0.4
33,1,0.0,1.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
34,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
35,0,1.0,0.0,1.0,0.16038672010106,0.0,0.125,0.875,0.25,0.4
36,0,1.0,0.0,1.0,0.10149724044618187,0.0,0.125,0.875,0.25,0.3
37,1,0.0,0.0,0.0,0.014110458666029575,0.0,0.0,0.25,0.25,0.4
38,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
39,0,0.0,1.0,1.0,0.03513366015444757,0.0,0.25,0.25,0.25,0.3
40,1,0.0,1.0,1.0,0.021942337075458514,0.0,0.125,0.25,0.25,0.4
41,0,0.0,1.0,1.0,0.018493968331299484,0.0,0.125,0.25,0.25,0.3
42,0,0.5,1.0,1.0,0.04098927018018883,0.0,0.125,0.5,0.25,0.3
43,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.4
44,1,0.5,1.0,1.0,0.08115719346076702,0.3333333333333333,0.125,0.5,0.25,0.4
45,1,0.0,1.0,1.0,0.01537917417160685,0.0,0.0,0.25,0.25,1.0
46,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
47,0,0.0,0.0,0.0,0.030253985132996517,0.0,0.125,0.25,0.25,1.0
48,1,0.0,1.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
49,0,0.0,0.0,0.0,0.04231498029001666,0.0,0.25,0.25,0.25,0.4
50,0,0.0,1.0,1.0,0.034743286152731485,0.0,0.125,0.25,0.25,0.3
51,0,0.0,0.0,1.0,0.07746484096553544,0.16666666666666666,0.5,0.25,0.25,0.3
52,0,0.0,0.0,1.0,0.01522458606692728,0.0,0.0,0.25,0.25,0.3
53,1,1.0,1.0,1.0,0.1497654242623688,0.0,0.125,0.625,0.25,0.4
54,1,0.5,1.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3
55,0,1.0,0.0,1.0,0.1209753416358076,0.16666666666666666,0.0,0.875,0.25,0.4
56,1,1.0,0.0,0.0,0.06929138530460492,0.0,0.0,0.75,0.25,0.3
57,1,0.5,1.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
58,0,0.0,0.0,1.0,0.014110458666029575,0.0,0.0,0.25,0.25,0.4
59,1,0.5,1.0,1.0,0.05416439273810667,0.3333333333333333,0.125,0.5,0.25,0.3
60,0,0.0,0.0,1.0,0.09154270340242172,0.3333333333333333,0.625,0.25,0.25,0.3
61,0,0.0,0.0,1.0,0.014110458666029575,0.0,0.0,0.25,0.25,0.4
62,1,1.0,1.0,1.0,0.15614960068643363,0.0,0.0,0.875,0.25,0.3
63,0,1.0,0.0,1.0,0.16293234896625058,0.0,0.125,0.75,0.25,0.3
64,0,0.0,0.0,1.0,0.05445717323939373,0.3333333333333333,0.375,0.25,0.25,0.3
65,0,1.0,0.0,0.0,0.05410739813385612,0.0,0.0,0.875,0.25,0.4
66,1,0.0,0.0,0.0,0.029757819776815374,0.16666666666666666,0.125,0.25,0.25,0.4
67,1,0.5,1.0,1.0,0.020494635090094415,0.0,0.0,0.375,0.25,0.3
68,0,0.0,0.0,1.0,0.015923941091001644,0.0,0.0,0.25,0.25,0.3
69,1,0.0,1.0,1.0,0.015468569817999833,0.3333333333333333,0.5,0.25,0.25,0.3
70,0,0.0,0.0,1.0,0.016908073949327893,0.0,0.25,0.25,0.25,0.3
71,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
72,0,0.0,1.0,1.0,0.09154270340242172,0.3333333333333333,0.625,0.25,0.25,0.3
73,0,0.5,0.0,1.0,0.1434624456306609,0.0,0.0,0.5,0.25,0.3
74,0,0.0,0.0,1.0,0.028212719478023115,0.0,0.125,0.25,0.25,0.4
75,1,0.0,0.0,1.0,0.11027245763075773,0.0,0.0,0.25,0.25,0.3
76,0,0.0,0.0,1.0,0.014931805565640218,0.0,0.0,0.25,0.5,0.3
77,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
78,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
79,1,0.5,0.0,1.0,0.056604230248832196,0.3333333333333333,0.0,0.5,0.25,0.3
80,1,0.0,1.0,1.0,0.024349578357040744,0.0,0.0,0.25,0.25,0.3
81,0,0.0,0.0,1.0,0.017566830077223785,0.0,0.0,0.25,0.25,0.3
82,1,0.0,0.0,1.0,0.018542765081513996,0.0,0.0,0.25,0.25,0.3
83,1,0.0,1.0,0.0,0.015200187691820024,0.0,0.0,0.25,0.25,1.0
84,0,1.0,0.0,1.0,0.09193307740413781,0.0,0.0,0.875,0.25,0.3
85,1,0.5,1.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
86,1,0.0,1.0,1.0,0.030937139635999665,0.0,0.375,0.25,0.25,0.3
87,0,0.0,0.0,1.0,0.06709553154495196,0.5,0.125,0.25,0.25,0.3
88,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
89,1,1.0,1.0,1.0,0.5133418122566505,0.3333333333333333,0.375,0.75,0.75,0.3
90,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
91,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
92,0,0.0,0.0,1.0,0.015330377421392339,0.0,0.0,0.25,0.25,0.3
93,0,1.0,0.0,1.0,0.11940564777490723,0.0,0.125,0.5,0.25,0.3
94,0,0.0,0.0,1.0,0.04015972542654215,0.3333333333333333,0.125,0.25,0.25,0.3
95,0,0.0,0.0,1.0,0.014151057562208049,0.0,0.0,0.25,0.25,0.3
96,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
97,0,1.0,0.0,1.0,0.06764049365134761,0.0,0.0,1.0,0.25,0.4
98,1,1.0,0.0,1.0,0.12366716556464086,0.16666666666666666,0.0,0.625,0.5,0.4
99,1,0.5,1.0,1.0,0.04489301019734967,0.16666666666666666,0.0,0.5,0.25,0.3
100,0,0.5,0.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3
101,0,0.0,1.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
102,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
103,0,1.0,0.0,1.0,0.15085515328815924,0.16666666666666666,0.0,0.625,0.25,0.3
104,0,0.0,0.0,1.0,0.016891873428256675,0.0,0.0,0.25,0.25,0.3
105,0,0.0,0.0,1.0,0.015468569817999833,0.0,0.25,0.25,0.25,0.3
106,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
107,1,0.0,1.0,1.0,0.014931805565640218,0.0,0.0,0.25,0.25,0.3
108,1,0.0,0.0,0.0,0.015175789316712771,0.0,0.0,0.25,0.25,0.3
109,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
110,1,0.0,1.0,0.0,0.04713766070721715,0.0,0.125,0.25,0.25,1.0
111,0,1.0,0.0,1.0,0.10149724044618187,0.0,0.0,0.75,0.25,0.3
112,0,0.0,1.0,1.0,0.028212719478023115,0.0,0.125,0.25,0.25,0.4
113,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
114,0,0.0,1.0,1.0,0.019177122834302632,0.0,0.125,0.25,0.25,0.3
115,0,0.0,1.0,1.0,0.028220722145058292,0.0,0.0,0.25,0.25,0.4
116,0,0.0,0.0,1.0,0.015468569817999833,0.0,0.0,0.25,0.25,0.3
117,0,0.0,0.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
118,0,0.5,0.0,1.0,0.04098927018018883,0.0,0.125,0.5,0.25,0.3
119,0,1.0,0.0,1.0,0.4831284260198326,0.16666666666666666,0.0,0.875,0.5,0.4
120,0,0.0,1.0,1.0,0.06104473451835265,0.3333333333333333,0.5,0.25,0.25,0.3
121,0,0.5,0.0,1.0,0.1434624456306609,0.0,0.25,0.5,0.25,0.3
122,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
123,0,0.5,0.0,1.0,0.058694292654020104,0.0,0.125,0.5,0.25,0.4
124,1,0.5,1.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
125,0,1.0,0.0,1.0,0.15085515328815924,0.16666666666666666,0.0,0.625,0.25,0.3
126,1,0.0,0.0,1.0,0.021942337075458514,0.0,0.125,0.25,0.25,0.4
127,0,0.0,0.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
128,1,0.0,0.0,1.0,0.01393967004027879,0.0,0.0,0.25,0.25,0.3
129,1,0.0,1.0,0.0,0.04364049521284361,0.16666666666666666,0.125,0.375,0.5,0.4
130,0,0.0,0.0,1.0,0.013614293309848433,0.0,0.0,0.25,0.25,0.3
131,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.4
132,0,0.0,0.0,1.0,0.013760683560491965,0.0,0.0,0.25,0.25,0.3
133,0,0.0,1.0,1.0,0.028302115124416098,0.0,0.125,0.25,0.25,0.3
134,1,0.5,1.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3
135,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
136,0,0.5,0.0,1.0,0.02936744577509929,0.0,0.0,0.5,0.25,0.4
137,1,1.0,1.0,1.0,0.051301584996521765,0.3333333333333333,0.0,0.625,0.25,0.3
138,0,1.0,0.0,1.0,0.10364429745562033,0.0,0.125,0.75,0.25,0.3
139,0,0.0,0.0,1.0,0.01798980030808316,0.0,0.0,0.25,0.25,0.3
140,0,1.0,0.0,1.0,0.15458810467956932,0.0,0.0,0.875,0.25,0.4
141,0,0.0,1.0,0.0,0.029757819776815374,0.3333333333333333,0.0,0.25,0.25,0.4
142,1,0.0,1.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,0.3
143,1,0.0,1.0,1.0,0.030937139635999665,0.0,0.125,0.25,0.25,0.3
144,0,0.0,0.0,1.0,0.013175122557917838,0.0,0.0,0.25,0.25,1.0
145,0,0.5,0.0,1.0,0.022446505098674834,0.0,0.0,0.5,0.25,0.3
146,0,0.5,0.0,1.0,0.07173122281533045,0.16666666666666666,0.125,0.5,0.25,0.3
147,1,0.0,0.0,1.0,0.015216388212891242,0.0,0.0,0.25,0.25,0.3
148,0,0.0,1.0,1.0,0.06709553154495196,0.3333333333333333,0.25,0.25,0.25,0.3
149,0,0.5,0.0,1.0,0.050748620223090936,0.3333333333333333,0.0,0.375,0.25,0.3
150,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
151,0,0.5,0.0,1.0,0.02444717185746977,0.0,0.0,0.5,0.25,0.3
152,1,1.0,1.0,1.0,0.12999454257145598,0.0,0.125,0.75,0.25,0.3
153,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
154,0,0.0,0.0,1.0,0.028302115124416098,0.3333333333333333,0.0,0.25,0.25,0.3
155,0,0.0,0.0,0.0,0.014273049437744325,0.0,0.0,0.25,0.25,0.3
156,0,1.0,0.0,1.0,0.11980421963065935,0.16666666666666666,0.0,0.875,0.25,0.4
157,1,0.0,1.0,1.0,0.015094396337354966,0.0,0.0,0.25,0.25,1.0
158,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
159,0,0.0,0.0,0.0,0.016908073949327893,0.0,0.0,0.25,0.25,0.3
160,0,0.0,0.0,0.0,0.13575255909676823,0.3333333333333333,1.0,0.25,0.25,0.3
161,0,0.0,0.0,1.0,0.031425107138144774,0.16666666666666666,0.0,0.25,0.25,0.3
162,1,0.5,1.0,1.0,0.030741952635141623,0.0,0.0,0.5,0.25,0.3
163,0,0.0,0.0,1.0,0.015175789316712771,0.0,0.0,0.25,0.25,0.3
164,0,0.0,0.0,1.0,0.016908073949327893,0.0,0.0,0.25,0.25,0.3
165,0,0.0,0.0,1.0,0.07746484096553544,0.16666666666666666,0.5,0.25,0.25,0.3
166,1,0.0,0.0,1.0,0.04006213192611313,0.3333333333333333,0.0,0.25,0.25,0.3
167,1,1.0,1.0,0.0,0.10735285047192313,0.16666666666666666,0.0,0.5,0.25,0.3
168,0,0.0,1.0,1.0,0.05445717323939373,0.6666666666666666,0.125,0.25,0.25,0.3
169,0,1.0,0.0,0.0,0.050602229972447406,0.0,0.0,0.875,0.25,0.3
170,0,0.0,0.0,1.0,0.11027245763075773,0.0,0.0,0.25,0.25,0.3
171,0,1.0,0.0,1.0,0.06538764528744409,0.0,0.0,0.875,0.25,0.3
172,0,0.0,0.0,1.0,0.056848213999904744,0.16666666666666666,0.5,0.25,0.25,1.0
173,1,0.0,1.0,1.0,0.021730754366528396,0.16666666666666666,0.125,0.25,0.25,0.3
174,0,0.0,0.0,1.0,0.015468569817999833,0.0,0.0,0.25,0.25,0.3
175,0,1.0,0.0,1.0,0.05991421140938287,0.0,0.0,1.0,0.25,0.4
176,0,0.0,0.0,1.0,0.015330377421392339,0.16666666666666666,0.125,0.25,0.25,0.3
177,0,0.0,0.0,0.0,0.04970768794751499,0.16666666666666666,0.375,0.25,0.25,0.3
178,0,1.0,1.0,1.0,0.05604306762136532,0.0,0.0,0.75,0.25,0.4
179,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
180,0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.3
181,0,0.0,1.0,0.0,0.13575255909676823,0.3333333333333333,1.0,0.25,0.25,0.3
182,0,0.5,0.0,0.0,0.02937564362913533,0.0,0.0,0.5,0.25,0.4
183,0,0.0,0.0,1.0,0.061264319894317944,0.3333333333333333,0.5,0.25,0.25,0.3
184,1,0.5,0.0,1.0,0.0761229303346364,0.16666666666666666,0.25,0.375,0.25,0.3
185,1,0.0,1.0,1.0,0.04298993693898376,0.3333333333333333,0.0,0.25,0.25,0.3
186,0,1.0,0.0,0.0,0.09759350042902103,0.0,0.0,1.0,0.25,0.3
187,1,0.0,1.0,0.0,0.030253985132996517,0.0,0.125,0.25,0.25,1.0
188,1,1.0,0.0,1.0,0.051822148727810165,0.0,0.0,0.875,0.25,0.3
189,0,0.0,0.0,1.0,0.030253985132996517,0.16666666666666666,0.125,0.25,0.25,1.0
190,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
191,1,0.5,1.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
192,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
193,1,0.0,1.0,1.0,0.015330377421392339,0.0,0.125,0.25,0.25,0.3
194,1,0.5,0.0,1.0,0.050748620223090936,0.16666666666666666,0.125,0.375,0.25,0.3
195,1,1.0,1.0,1.0,0.05410739813385612,0.0,0.0,0.875,0.25,0.4
196,1,1.0,1.0,1.0,0.2859895551532101,0.0,0.0,0.875,0.25,0.4
197,0,0.0,0.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
198,0,0.0,0.0,1.0,0.01640390592611157,0.16666666666666666,0.0,0.25,0.25,0.3
199,1,0.0,1.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
200,0,0.5,1.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
201,0,0.0,0.0,1.0,0.018542765081513996,0.0,0.0,0.25,0.25,0.3
202,0,0.0,0.0,0.0,0.13575255909676823,0.3333333333333333,1.0,0.25,0.25,0.3
203,0,0.0,0.0,1.0,0.012678957201736696,0.0,0.0,0.25,0.25,0.3
204,0,0.0,0.0,1.0,0.014102260811993537,0.0,0.0,0.25,0.25,0.4
205,1,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
206,0,0.0,1.0,1.0,0.02042143996477265,0.16666666666666666,0.0,0.25,0.25,0.3
207,0,0.0,0.0,1.0,0.030937139635999665,0.0,0.125,0.25,0.25,0.3
208,1,0.0,0.0,1.0,0.036670757786204655,0.0,0.0,0.25,0.25,0.4
209,1,0.0,1.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
210,1,1.0,0.0,1.0,0.060507970265993034,0.0,0.0,1.0,0.25,0.4
211,0,0.0,0.0,1.0,0.013760683560491965,0.0,0.0,0.25,0.25,0.3
212,1,0.5,1.0,1.0,0.04098927018018883,0.0,0.0,0.5,0.25,0.3
213,0,0.0,0.0,1.0,0.014151057562208049,0.0,0.0,0.25,0.25,0.3
214,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
215,0,0.0,0.0,0.0,0.015126992566498259,0.0,0.125,0.25,0.25,1.0
216,1,1.0,1.0,1.0,0.22109807522194713,0.0,0.125,0.625,0.25,0.4
217,1,0.0,1.0,1.0,0.015468569817999833,0.0,0.0,0.25,0.25,0.3
218,0,0.5,0.0,1.0,0.05270049023167135,0.0,0.125,0.5,0.25,0.3
219,1,1.0,1.0,1.0,0.14891148113361488,0.0,0.0,0.625,0.25,0.4
220,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
221,1,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
222,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
223,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
224,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
225,1,1.0,0.0,1.0,0.17566830077223786,0.0,0.125,0.75,0.25,0.3
226,0,0.0,0.0,1.0,0.01824998458022693,0.0,0.0,0.25,0.25,0.3
227,1,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
228,0,0.0,0.0,1.0,0.014151057562208049,0.0,0.0,0.25,0.25,0.3
229,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
230,0,0.0,1.0,0.0,0.04970768794751499,0.16666666666666666,0.375,0.25,0.25,0.3
231,1,1.0,1.0,1.0,0.16293234896625058,0.0,0.125,0.75,0.25,0.3
232,0,0.0,0.0,1.0,0.015175789316712771,0.0,0.0,0.25,0.25,0.3
233,0,0.5,0.0,1.0,0.026350245115835676,0.0,0.0,0.5,0.25,0.3
234,1,0.0,1.0,1.0,0.061264319894317944,0.3333333333333333,0.5,0.25,0.25,0.3
235,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
236,0,0.0,1.0,0.0,0.014736618564782174,0.0,0.0,0.25,0.25,0.3
237,0,0.5,0.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3
238,1,0.5,1.0,1.0,0.05123658772523604,0.3333333333333333,0.0,0.5,0.25,0.3
239,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
240,0,0.5,0.0,1.0,0.023959204355324663,0.0,0.0,0.5,0.25,0.3
241,0,0.0,1.0,0.0,0.028212719478023115,0.0,0.125,0.25,0.25,0.4
242,1,0.0,1.0,0.0,0.030253985132996517,0.0,0.125,0.25,0.25,1.0
243,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
244,0,0.0,0.0,1.0,0.013907073811135496,0.0,0.0,0.25,0.25,0.3
245,0,0.0,0.0,1.0,0.014102260811993537,0.0,0.0,0.25,0.25,0.4
246,0,1.0,0.0,1.0,0.17566830077223786,0.0,0.25,0.75,0.25,1.0
247,0,0.0,1.0,1.0,0.015175789316712771,0.0,0.0,0.25,0.25,0.3
248,1,0.5,1.0,1.0,0.028302115124416098,0.3333333333333333,0.0,0.5,0.25,0.3
249,1,1.0,0.0,1.0,0.10257896680493714,0.16666666666666666,0.125,0.625,0.25,0.3
250,0,0.5,0.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3
251,0,0.0,0.0,0.0,0.014151057562208049,0.0,0.0,0.25,0.25,0.3
252,0,0.0,1.0,1.0,0.02042143996477265,0.16666666666666666,0.125,0.25,0.25,0.3
253,0,1.0,0.0,1.0,0.051822148727810165,0.0,0.0,0.75,0.25,0.3
254,0,0.0,0.0,1.0,0.031425107138144774,0.0,0.125,0.25,0.25,0.3
255,0,0.0,1.0,1.0,0.039452172548431745,0.3333333333333333,0.0,0.25,0.25,0.3
256,1,0.0,1.0,1.0,0.029757819776815374,0.3333333333333333,0.0,0.25,0.25,0.4
257,1,1.0,1.0,0.0,0.15458810467956932,0.0,0.0,0.875,0.25,0.4
258,1,1.0,1.0,1.0,0.16883675574220638,0.0,0.0,0.875,0.25,0.3
259,1,1.0,1.0,1.0,1.0,0.0,0.0,0.875,0.25,0.4
260,1,0.5,1.0,1.0,0.050748620223090936,0.16666666666666666,0.0,0.5,0.25,0.3
261,0,0.0,0.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
262,1,0.0,0.0,1.0,0.061264319894317944,0.3333333333333333,0.5,0.25,0.25,0.3
263,0,1.0,0.0,1.0,0.1554664461834305,0.16666666666666666,0.125,0.5,0.25,0.3
264,0,1.0,0.0,1.0,0.0,0.0,0.0,0.875,0.25,0.3
265,0,0.0,1.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
266,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3
267,0,0.0,0.0,1.0,0.07746484096553544,0.16666666666666666,0.5,0.25,0.25,0.3
268,1,0.0,0.0,1.0,0.015175789316712771,0.0,0.125,0.25,0.25,0.3
269,1,1.0,1.0,1.0,0.2995388511917728,0.16666666666666666,0.0,0.75,0.25,0.3
270,1,1.0,1.0,1.0,0.2647385704347907,0.0,0.0,0.75,0.25,0.3
271,0,1.0,0.0,0.0,0.060507970265993034,0.0,0.0,0.875,0.25,0.3
272,1,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.3
273,1,0.5,1.0,1.0,0.0380614651673182,0.16666666666666666,0.0,0.5,0.25,0.3
274,0,1.0,0.0,1.0,0.057970539254838485,0.16666666666666666,0.0,0.75,0.25,0.4
275,1,0.0,1.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
276,1,1.0,1.0,1.0,0.15216446768991498,0.0,0.125,0.625,0.25,0.3
277,0,0.0,1.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,0.3
278,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.3
279,0,0.0,0.0,1.0,0.056848213999904744,0.16666666666666666,0.5,0.25,0.25,1.0
280,1,0.0,1.0,1.0,0.03952536767375352,0.16666666666666666,0.125,0.25,0.25,0.3
281,0,0.0,0.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
282,0,0.0,0.0,1.0,0.015330377421392339,0.0,0.0,0.25,0.25,0.3
283,0,0.0,0.0,1.0,0.018542765081513996,0.0,0.0,0.25,0.25,0.3
284,1,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3
285,0,1.0,0.0,0.0,0.050748620223090936,0.0,0.0,1.0,0.25,0.3
286,0,0.0,0.0,1.0,0.016908073949327893,0.0,0.0,0.25,0.25,0.4
287,1,0.0,0.0,1.0,0.018542765081513996,0.0,0.0,0.25,0.25,0.3
288,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
289,1,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3
290,1,0.0,1.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0
291,1,1.0,1.0,1.0,0.15390495017656614,0.0,0.0,0.875,0.25,0.3
292,1,1.0,1.0,1.0,0.17777475888549785,0.0,0.125,0.875,0.25,0.4
293,0,0.5,0.0,1.0,0.025130326360472913,0.0,0.0,0.625,0.25,0.4
294,0,0.0,1.0,1.0,0.01727404957593672,0.0,0.0,0.25,0.25,0.3
295,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3
296,0,1.0,0.0,0.0,0.05410739813385612,0.0,0.0,0.875,0.25,0.4
297,0,0.0,0.0,1.0,0.014110458666029575,0.0,0.0,0.25,0.25,0.4
298,0,1.0,1.0,1.0,0.29580589980036276,0.3333333333333333,0.125,0.75,0.5,0.3
299,1,1.0,0.0,0.0,0.05953203526170282,0.0,0.0,0.75,0.25,0.3
