PassengerId,Survived,ScaledClass,ScaledSex,AgeRecorded,ScaledFare,ScaledParch,ScaledSibSp,ScaledCabin,ScaledNumberOfCabins,ScaledEmbarked,ScaledSumFamily,OnOwn,MaleOnOwn
22,1,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.625,0.25,0.3,0.0,0.0,0.0
23,1,0.0,1.0,1.0,0.015671954672893913,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
24,1,1.0,0.0,1.0,0.06929138530460492,0.0,0.0,1.0,0.25,0.3,0.0,0.0,0.0
25,0,0.0,1.0,1.0,0.04113566043083236,0.16666666666666666,0.375,0.25,0.25,0.3,0.4,1.0,0.0
26,1,0.0,1.0,1.0,0.061264319894317944,0.8333333333333334,0.125,0.25,0.25,0.3,0.6,1.0,0.0
27,0,0.0,0.0,0.0,0.014102260811993537,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
28,0,1.0,0.0,1.0,0.5133418122566505,0.3333333333333333,0.375,0.75,0.75,0.3,0.5,1.0,1.0
29,1,0.0,1.0,0.0,0.01537917417160685,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
30,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
31,0,1.0,0.0,1.0,0.05410739813385612,0.0,0.0,0.875,0.25,0.4,0.0,0.0,0.0
32,1,1.0,1.0,0.0,0.2859895551532101,0.0,0.125,0.875,0.25,0.4,0.1,1.0,0.0
33,1,0.0,1.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
34,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
35,0,1.0,0.0,1.0,0.16038672010106,0.0,0.125,0.875,0.25,0.4,0.1,1.0,1.0
36,0,1.0,0.0,1.0,0.10149724044618187,0.0,0.125,0.875,0.25,0.3,0.1,1.0,1.0
37,1,0.0,0.0,0.0,0.014110458666029575,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
38,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
39,0,0.0,1.0,1.0,0.03513366015444757,0.0,0.25,0.25,0.25,0.3,0.2,1.0,0.0
40,1,0.0,1.0,1.0,0.021942337075458514,0.0,0.125,0.25,0.25,0.4,0.1,1.0,0.0
41,0,0.0,1.0,1.0,0.018493968331299484,0.0,0.125,0.25,0.25,0.3,0.1,1.0,0.0
42,0,0.5,1.0,1.0,0.04098927018018883,0.0,0.125,0.5,0.25,0.3,0.1,1.0,0.0
43,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
44,1,0.5,1.0,1.0,0.08115719346076702,0.3333333333333333,0.125,0.5,0.25,0.4,0.3,1.0,0.0
45,1,0.0,1.0,1.0,0.01537917417160685,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
46,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
47,0,0.0,0.0,0.0,0.030253985132996517,0.0,0.125,0.25,0.25,1.0,0.1,1.0,1.0
48,1,0.0,1.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
49,0,0.0,0.0,0.0,0.04231498029001666,0.0,0.25,0.25,0.25,0.4,0.2,1.0,1.0
50,0,0.0,1.0,1.0,0.034743286152731485,0.0,0.125,0.25,0.25,0.3,0.1,1.0,0.0
51,0,0.0,0.0,1.0,0.07746484096553544,0.16666666666666666,0.5,0.25,0.25,0.3,0.5,1.0,1.0
52,0,0.0,0.0,1.0,0.01522458606692728,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
53,1,1.0,1.0,1.0,0.1497654242623688,0.0,0.125,0.625,0.25,0.4,0.1,1.0,0.0
54,1,0.5,1.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3,0.1,1.0,0.0
55,0,1.0,0.0,1.0,0.1209753416358076,0.16666666666666666,0.0,0.875,0.25,0.4,0.1,1.0,1.0
56,1,1.0,0.0,0.0,0.06929138530460492,0.0,0.0,0.75,0.25,0.3,0.0,0.0,0.0
57,1,0.5,1.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
58,0,0.0,0.0,1.0,0.014110458666029575,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
59,1,0.5,1.0,1.0,0.05416439273810667,0.3333333333333333,0.125,0.5,0.25,0.3,0.3,1.0,0.0
60,0,0.0,0.0,1.0,0.09154270340242172,0.3333333333333333,0.625,0.25,0.25,0.3,0.7,1.0,1.0
61,0,0.0,0.0,1.0,0.014110458666029575,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
62,1,1.0,1.0,1.0,0.15614960068643363,0.0,0.0,0.875,0.25,0.3,0.0,0.0,0.0
63,0,1.0,0.0,1.0,0.16293234896625058,0.0,0.125,0.75,0.25,0.3,0.1,1.0,1.0
64,0,0.0,0.0,1.0,0.05445717323939373,0.3333333333333333,0.375,0.25,0.25,0.3,0.5,1.0,1.0
65,0,1.0,0.0,0.0,0.05410739813385612,0.0,0.0,0.875,0.25,0.4,0.0,0.0,0.0
66,1,0.0,0.0,0.0,0.029757819776815374,0.16666666666666666,0.125,0.25,0.25,0.4,0.2,1.0,1.0
67,1,0.5,1.0,1.0,0.020494635090094415,0.0,0.0,0.375,0.25,0.3,0.0,0.0,0.0
68,0,0.0,0.0,1.0,0.015923941091001644,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
69,1,0.0,1.0,1.0,0.015468569817999833,0.3333333333333333,0.5,0.25,0.25,0.3,0.6,1.0,0.0
70,0,0.0,0.0,1.0,0.016908073949327893,0.0,0.25,0.25,0.25,0.3,0.2,1.0,1.0
71,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
72,0,0.0,1.0,1.0,0.09154270340242172,0.3333333333333333,0.625,0.25,0.25,0.3,0.7,1.0,0.0
73,0,0.5,0.0,1.0,0.1434624456306609,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
74,0,0.0,0.0,1.0,0.028212719478023115,0.0,0.125,0.25,0.25,0.4,0.1,1.0,1.0
75,1,0.0,0.0,1.0,0.11027245763075773,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
76,0,0.0,0.0,1.0,0.014931805565640218,0.0,0.0,0.25,0.5,0.3,0.0,0.0,0.0
77,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
78,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
79,1,0.5,0.0,1.0,0.056604230248832196,0.3333333333333333,0.0,0.5,0.25,0.3,0.2,1.0,1.0
80,1,0.0,1.0,1.0,0.024349578357040744,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
81,0,0.0,0.0,1.0,0.017566830077223785,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
82,1,0.0,0.0,1.0,0.018542765081513996,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
83,1,0.0,1.0,0.0,0.015200187691820024,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
84,0,1.0,0.0,1.0,0.09193307740413781,0.0,0.0,0.875,0.25,0.3,0.0,0.0,0.0
85,1,0.5,1.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
86,1,0.0,1.0,1.0,0.030937139635999665,0.0,0.375,0.25,0.25,0.3,0.3,1.0,0.0
87,0,0.0,0.0,1.0,0.06709553154495196,0.5,0.125,0.25,0.25,0.3,0.4,1.0,1.0
88,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
89,1,1.0,1.0,1.0,0.5133418122566505,0.3333333333333333,0.375,0.75,0.75,0.3,0.5,1.0,0.0
90,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
91,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
92,0,0.0,0.0,1.0,0.015330377421392339,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
93,0,1.0,0.0,1.0,0.11940564777490723,0.0,0.125,0.5,0.25,0.3,0.1,1.0,1.0
94,0,0.0,0.0,1.0,0.04015972542654215,0.3333333333333333,0.125,0.25,0.25,0.3,0.3,1.0,1.0
95,0,0.0,0.0,1.0,0.014151057562208049,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
96,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
97,0,1.0,0.0,1.0,0.06764049365134761,0.0,0.0,1.0,0.25,0.4,0.0,0.0,0.0
98,1,1.0,0.0,1.0,0.12366716556464086,0.16666666666666666,0.0,0.625,0.5,0.4,0.1,1.0,1.0
99,1,0.5,1.0,1.0,0.04489301019734967,0.16666666666666666,0.0,0.5,0.25,0.3,0.1,1.0,0.0
100,0,0.5,0.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3,0.1,1.0,1.0
101,0,0.0,1.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
102,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
103,0,1.0,0.0,1.0,0.15085515328815924,0.16666666666666666,0.0,0.625,0.25,0.3,0.1,1.0,1.0
104,0,0.0,0.0,1.0,0.016891873428256675,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
105,0,0.0,0.0,1.0,0.015468569817999833,0.0,0.25,0.25,0.25,0.3,0.2,1.0,1.0
106,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
107,1,0.0,1.0,1.0,0.014931805565640218,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
108,1,0.0,0.0,0.0,0.015175789316712771,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
109,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
110,1,0.0,1.0,0.0,0.04713766070721715,0.0,0.125,0.25,0.25,1.0,0.1,1.0,0.0
111,0,1.0,0.0,1.0,0.10149724044618187,0.0,0.0,0.75,0.25,0.3,0.0,0.0,0.0
112,0,0.0,1.0,1.0,0.028212719478023115,0.0,0.125,0.25,0.25,0.4,0.1,1.0,0.0
113,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
114,0,0.0,1.0,1.0,0.019177122834302632,0.0,0.125,0.25,0.25,0.3,0.1,1.0,0.0
115,0,0.0,1.0,1.0,0.028220722145058292,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
116,0,0.0,0.0,1.0,0.015468569817999833,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
117,0,0.0,0.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
118,0,0.5,0.0,1.0,0.04098927018018883,0.0,0.125,0.5,0.25,0.3,0.1,1.0,1.0
119,0,1.0,0.0,1.0,0.4831284260198326,0.16666666666666666,0.0,0.875,0.5,0.4,0.1,1.0,1.0
120,0,0.0,1.0,1.0,0.06104473451835265,0.3333333333333333,0.5,0.25,0.25,0.3,0.6,1.0,0.0
121,0,0.5,0.0,1.0,0.1434624456306609,0.0,0.25,0.5,0.25,0.3,0.2,1.0,1.0
122,0,0.0,0.0,0.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
123,0,0.5,0.0,1.0,0.058694292654020104,0.0,0.125,0.5,0.25,0.4,0.1,1.0,1.0
124,1,0.5,1.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
125,0,1.0,0.0,1.0,0.15085515328815924,0.16666666666666666,0.0,0.625,0.25,0.3,0.1,1.0,1.0
126,1,0.0,0.0,1.0,0.021942337075458514,0.0,0.125,0.25,0.25,0.4,0.1,1.0,1.0
127,0,0.0,0.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
128,1,0.0,0.0,1.0,0.01393967004027879,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
129,1,0.0,1.0,0.0,0.04364049521284361,0.16666666666666666,0.125,0.375,0.5,0.4,0.2,1.0,0.0
130,0,0.0,0.0,1.0,0.013614293309848433,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
131,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
132,0,0.0,0.0,1.0,0.013760683560491965,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
133,0,0.0,1.0,1.0,0.028302115124416098,0.0,0.125,0.25,0.25,0.3,0.1,1.0,0.0
134,1,0.5,1.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3,0.1,1.0,0.0
135,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
136,0,0.5,0.0,1.0,0.02936744577509929,0.0,0.0,0.5,0.25,0.4,0.0,0.0,0.0
137,1,1.0,1.0,1.0,0.051301584996521765,0.3333333333333333,0.0,0.625,0.25,0.3,0.2,1.0,0.0
138,0,1.0,0.0,1.0,0.10364429745562033,0.0,0.125,0.75,0.25,0.3,0.1,1.0,1.0
139,0,0.0,0.0,1.0,0.01798980030808316,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
140,0,1.0,0.0,1.0,0.15458810467956932,0.0,0.0,0.875,0.25,0.4,0.0,0.0,0.0
141,0,0.0,1.0,0.0,0.029757819776815374,0.3333333333333333,0.0,0.25,0.25,0.4,0.2,1.0,0.0
142,1,0.0,1.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
143,1,0.0,1.0,1.0,0.030937139635999665,0.0,0.125,0.25,0.25,0.3,0.1,1.0,0.0
144,0,0.0,0.0,1.0,0.013175122557917838,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
145,0,0.5,0.0,1.0,0.022446505098674834,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
146,0,0.5,0.0,1.0,0.07173122281533045,0.16666666666666666,0.125,0.5,0.25,0.3,0.2,1.0,1.0
147,1,0.0,0.0,1.0,0.015216388212891242,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
148,0,0.0,1.0,1.0,0.06709553154495196,0.3333333333333333,0.25,0.25,0.25,0.3,0.4,1.0,0.0
149,0,0.5,0.0,1.0,0.050748620223090936,0.3333333333333333,0.0,0.375,0.25,0.3,0.2,1.0,1.0
150,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
151,0,0.5,0.0,1.0,0.02444717185746977,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
152,1,1.0,1.0,1.0,0.12999454257145598,0.0,0.125,0.75,0.25,0.3,0.1,1.0,0.0
153,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
154,0,0.0,0.0,1.0,0.028302115124416098,0.3333333333333333,0.0,0.25,0.25,0.3,0.2,1.0,1.0
155,0,0.0,0.0,0.0,0.014273049437744325,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
156,0,1.0,0.0,1.0,0.11980421963065935,0.16666666666666666,0.0,0.875,0.25,0.4,0.1,1.0,1.0
157,1,0.0,1.0,1.0,0.015094396337354966,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
158,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
159,0,0.0,0.0,0.0,0.016908073949327893,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
160,0,0.0,0.0,0.0,0.13575255909676823,0.3333333333333333,1.0,0.25,0.25,0.3,1.0,1.0,1.0
161,0,0.0,0.0,1.0,0.031425107138144774,0.16666666666666666,0.0,0.25,0.25,0.3,0.1,1.0,1.0
162,1,0.5,1.0,1.0,0.030741952635141623,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
163,0,0.0,0.0,1.0,0.015175789316712771,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
164,0,0.0,0.0,1.0,0.016908073949327893,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
165,0,0.0,0.0,1.0,0.07746484096553544,0.16666666666666666,0.5,0.25,0.25,0.3,0.5,1.0,1.0
166,1,0.0,0.0,1.0,0.04006213192611313,0.3333333333333333,0.0,0.25,0.25,0.3,0.2,1.0,1.0
167,1,1.0,1.0,0.0,0.10735285047192313,0.16666666666666666,0.0,0.5,0.25,0.3,0.1,1.0,0.0
168,0,0.0,1.0,1.0,0.05445717323939373,0.6666666666666666,0.125,0.25,0.25,0.3,0.5,1.0,0.0
169,0,1.0,0.0,0.0,0.050602229972447406,0.0,0.0,0.875,0.25,0.3,0.0,0.0,0.0
170,0,0.0,0.0,1.0,0.11027245763075773,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
171,0,1.0,0.0,1.0,0.06538764528744409,0.0,0.0,0.875,0.25,0.3,0.0,0.0,0.0
172,0,0.0,0.0,1.0,0.056848213999904744,0.16666666666666666,0.5,0.25,0.25,1.0,0.5,1.0,1.0
173,1,0.0,1.0,1.0,0.021730754366528396,0.16666666666666666,0.125,0.25,0.25,0.3,0.2,1.0,0.0
174,0,0.0,0.0,1.0,0.015468569817999833,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
175,0,1.0,0.0,1.0,0.05991421140938287,0.0,0.0,1.0,0.25,0.4,0.0,0.0,0.0
176,0,0.0,0.0,1.0,0.015330377421392339,0.16666666666666666,0.125,0.25,0.25,0.3,0.2,1.0,1.0
177,0,0.0,0.0,0.0,0.04970768794751499,0.16666666666666666,0.375,0.25,0.25,0.3,0.4,1.0,1.0
178,0,1.0,1.0,1.0,0.05604306762136532,0.0,0.0,0.75,0.25,0.4,0.0,0.0,0.0
179,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
180,0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
181,0,0.0,1.0,0.0,0.13575255909676823,0.3333333333333333,1.0,0.25,0.25,0.3,1.0,1.0,0.0
182,0,0.5,0.0,0.0,0.02937564362913533,0.0,0.0,0.5,0.25,0.4,0.0,0.0,0.0
183,0,0.0,0.0,1.0,0.061264319894317944,0.3333333333333333,0.5,0.25,0.25,0.3,0.6,1.0,1.0
184,1,0.5,0.0,1.0,0.0761229303346364,0.16666666666666666,0.25,0.375,0.25,0.3,0.3,1.0,1.0
185,1,0.0,1.0,1.0,0.04298993693898376,0.3333333333333333,0.0,0.25,0.25,0.3,0.2,1.0,0.0
186,0,1.0,0.0,0.0,0.09759350042902103,0.0,0.0,1.0,0.25,0.3,0.0,0.0,0.0
187,1,0.0,1.0,0.0,0.030253985132996517,0.0,0.125,0.25,0.25,1.0,0.1,1.0,0.0
188,1,1.0,0.0,1.0,0.051822148727810165,0.0,0.0,0.875,0.25,0.3,0.0,0.0,0.0
189,0,0.0,0.0,1.0,0.030253985132996517,0.16666666666666666,0.125,0.25,0.25,1.0,0.2,1.0,1.0
190,0,0.0,0.0,1.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
191,1,0.5,1.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
192,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
193,1,0.0,1.0,1.0,0.015330377421392339,0.0,0.125,0.25,0.25,0.3,0.1,1.0,0.0
194,1,0.5,0.0,1.0,0.050748620223090936,0.16666666666666666,0.125,0.375,0.25,0.3,0.2,1.0,1.0
195,1,1.0,1.0,1.0,0.05410739813385612,0.0,0.0,0.875,0.25,0.4,0.0,0.0,0.0
196,1,1.0,1.0,1.0,0.2859895551532101,0.0,0.0,0.875,0.25,0.4,0.0,0.0,0.0
197,0,0.0,0.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
198,0,0.0,0.0,1.0,0.01640390592611157,0.16666666666666666,0.0,0.25,0.25,0.3,0.1,1.0,1.0
199,1,0.0,1.0,0.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
200,0,0.5,1.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
201,0,0.0,0.0,1.0,0.018542765081513996,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
202,0,0.0,0.0,0.0,0.13575255909676823,0.3333333333333333,1.0,0.25,0.25,0.3,1.0,1.0,1.0
203,0,0.0,0.0,1.0,0.012678957201736696,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
204,0,0.0,0.0,1.0,0.014102260811993537,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
205,1,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
206,0,0.0,1.0,1.0,0.02042143996477265,0.16666666666666666,0.0,0.25,0.25,0.3,0.1,1.0,0.0
207,0,0.0,0.0,1.0,0.030937139635999665,0.0,0.125,0.25,0.25,0.3,0.1,1.0,1.0
208,1,0.0,0.0,1.0,0.036670757786204655,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0
209,1,0.0,1.0,1.0,0.015126992566498259,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0
210,1,1.0,0.0,1.0,0.060507970265993034,0.0,0.0,1.0,0.25,0.4,0.0,0.0,0.0
211,0,0.0,0.0,1.0,0.013760683560491965,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
212,1,0.5,1.0,1.0,0.04098927018018883,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
213,0,0.0,0.0,1.0,0.014151057562208049,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
214,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
215,0,0.0,0.0,0.0,0.015126992566498259,0.0,0.125,0.25,0.25,1.0,0.1,1.0,1.0
216,1,1.0,1.0,1.0,0.22109807522194713,0.0,0.125,0.625,0.25,0.4,0.1,1.0,0.0
217,1,0.0,1.0,1.0,0.015468569817999833,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
218,0,0.5,0.0,1.0,0.05270049023167135,0.0,0.125,0.5,0.25,0.3,0.1,1.0,1.0
219,1,1.0,1.0,1.0,0.14891148113361488,0.0,0.0,0.625,0.25,0.4,0.0,0.0,0.0
220,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
221,1,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
222,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
223,0,0.0,0.0,1.0,0.015712553569072387,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
224,0,0.0,0.0,0.0,0.015411575213749284,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
225,1,1.0,0.0,1.0,0.17566830077223786,0.0,0.125,0.75,0.25,0.3,0.1,1.0,1.0
226,0,0.0,0.0,1.0,0.01824998458022693,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
227,1,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
228,0,0.0,0.0,1.0,0.014151057562208049,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
229,0,0.5,0.0,1.0,0.025374310111545468,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
230,0,0.0,1.0,0.0,0.04970768794751499,0.16666666666666666,0.375,0.25,0.25,0.3,0.4,1.0,0.0
231,1,1.0,1.0,1.0,0.16293234896625058,0.0,0.125,0.75,0.25,0.3,0.1,1.0,0.0
232,0,0.0,0.0,1.0,0.015175789316712771,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
233,0,0.5,0.0,1.0,0.026350245115835676,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
234,1,0.0,1.0,1.0,0.061264319894317944,0.3333333333333333,0.5,0.25,0.25,0.3,0.6,1.0,0.0
235,0,0.5,0.0,1.0,0.020494635090094415,0.0,0.0,0.5,0.25,0.3,0.0,0.0,0.0
236,0,0.0,1.0,0.0,0.014736618564782174,0.0,0.0,0.25,0.25,0.3,0.0,0.0,0.0
237,0,0.5,0.0,1.0,0.050748620223090936,0.0,0.125,0.5,0.25,0.3,0.1,1.0,1.0
